,year,warming_baseline,warming_pulse
1,2021,0.302284516,0.303257486
2,2022,0.33639039,0.337610124
3,2023,0.372418637,0.373796614
4,2024,0.408188069,0.409665678
5,2025,0.439648525,0.441186784
6,2026,0.467470627,0.469043529
7,2027,0.492583854,0.494174043
8,2028,0.517694216,0.519290147
9,2029,0.541975061,0.543569112
10,2030,0.566717206,0.568304411
11,2031,0.59224179,0.593818962
12,2032,0.61996651,0.621531675
13,2033,0.652148244,0.653700258
14,2034,0.690043743,0.691582022
15,2035,0.727904537,0.729428877
16,2036,0.767585514,0.769095958
17,2037,0.804009451,0.805506207
18,2038,0.840433794,0.841917166
19,2039,0.873665585,0.875135943
20,2040,0.904700235,0.906157978
21,2041,0.934378389,0.935823921
22,2042,0.965077,0.96651072
23,2043,0.997763471,0.999185769
24,2044,1.033368888,1.034780142
25,2045,1.074478454,1.075879025
26,2046,1.118377621,1.119767854
27,2047,1.164883614,1.166263833
28,2048,1.210248246,1.211618756
29,2049,1.251383184,1.252744275
30,2050,1.287866507,1.289218454
31,2051,1.322870331,1.324213396
32,2052,1.356961692,1.358296129
33,2053,1.390974333,1.392300385
34,2054,1.427057942,1.428375838
35,2055,1.466978164,1.468288122
36,2056,1.510573089,1.511875313
37,2057,1.553656343,1.554951023
38,2058,1.596910555,1.598197871
39,2059,1.640145764,1.641425884
40,2060,1.680183957,1.681457042
41,2061,1.718089776,1.719355997
42,2062,1.754765374,1.756024905
43,2063,1.791781622,1.793034639
44,2064,1.829480137,1.83072681
45,2065,1.868795876,1.870036368
46,2066,1.912281272,1.913515738
47,2067,1.958557031,1.959785618
48,2068,2.005499236,2.006722078
49,2069,2.050240965,2.051458188
50,2070,2.091985994,2.093197715
51,2071,2.130430964,2.131637311
52,2072,2.167890576,2.169091679
53,2073,2.204975859,2.206171846
54,2074,2.241263805,2.242454803
55,2075,2.277860165,2.279046296
56,2076,2.31466997,2.31585135
57,2077,2.353153173,2.354329911
58,2078,2.394472937,2.395645134
59,2079,2.438148323,2.439316071
60,2080,2.482856278,2.484019661
61,2081,2.526962744,2.528121844
62,2082,2.570344687,2.57149958
63,2083,2.611361752,2.612512513
64,2084,2.651560045,2.652706744
65,2085,2.689173268,2.690315973
66,2086,2.726099242,2.727238015
67,2087,2.763961701,2.765096603
68,2088,2.802890609,2.804021695
69,2089,2.844651166,2.845778487
70,2090,2.890049392,2.89117299
71,2091,2.936942747,2.938062663
72,2092,2.985777191,2.986893462
73,2093,3.031000955,3.032113614
74,2094,3.071911751,3.073020828
75,2095,3.110080836,3.111186359
76,2096,3.145667362,3.14676936
77,2097,3.181101592,3.182200093
78,2098,3.216415134,3.217510165
79,2099,3.25375161,3.254843197
80,2100,3.294222143,3.295310307
